ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 2007 (MWh)"
"São Marcos","4319000","-28.967700000000","-51.069600000000","2.707"
"São Martinho","4319109","-27.711200000000","-53.969900000000","2.949"
"São Martinho da Serra","4319125","-29.539700000000","-53.859000000000","1.244"
"São Miguel das Missões","4319158","-28.556000000000","-54.555900000000","91"
"São Nicolau","4319208","-28.183399999990","-55.265400000000","1.279"
"São Paulo das Missões","4319307","-28.019500000000","-54.940399999990","2.727"
"São Pedro das Missões","4319364","-27.773219999990","-53.250470000000","784"
"São Pedro do Butiá","4319372","-28.124300000000","-54.892600000000","6.302"
"São Pedro do Sul","4319406","-29.620200000000","-54.185499999990","3.668"
"São Sebastião do Caí","4319505","-29.588500000000","-51.374899999990","3.532"
"São Sepé","4319604","-30.164300000000","-53.560299999990","15.818"
"São Valentim","4319703","-27.558299999990","-52.523699999990","1.637"
"São Valentim do Sul","4319711","-29.045100000000","-51.768400000000","628"
"São Valério do Sul","4319737","-27.790600000000","-53.936799999990","293"
"São Vendelino","4319752","-29.372900000000","-51.367500000000","728"
"São Vicente do Sul","4319802","-29.688199999990","-54.682600000000","6.512"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","1.202"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","62"
"Sarandi","4320107","-27.942000000000","-52.923099999990","10.305"
"Seberi","4320206","-27.482900000000","-53.402600000000","3.259"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","1.626"
"Segredo","4320263","-29.352300000000","-52.976700000000","1.686"
"Selbach","4320305","-28.629400000000","-52.949800000000","43"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","118"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","2.434"
"Serafina Corrêa","4320404","-28.712599999990","-51.935299999990","3.908"
"Sério","4320453","-29.390400000000","-52.268500000000","280"
"Sertão","4320503","-27.979800000000","-52.258800000000","6.644"
"Sertão Santana","4320552","-30.456199999990","-51.601700000000","7.728"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","863"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","2.436"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","77"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","4.185"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","4.405"
"Soledade","4320800","-28.830600000000","-52.513100000000","6.821"
"Tabaí","4320859","-29.643000000000","-51.682299999990","191"
"Tapejara","4320909","-28.065200000000","-52.009700000000","27.051"
"Tapera","4321006","-28.627700000000","-52.861199999990","37.705"
"Tapes","4321105","-30.668299999990","-51.399099999990","4.205"
"Taquara","4321204","-29.650500000000","-50.775300000000","6.649"
"Taquari","4321303","-29.794300000000","-51.865299999990","42.889"
"Taquaruçu do Sul","4321329","-27.400400000000","-53.470300000000","870"
"Tavares","4321352","-31.284300000000","-51.088000000000","2.069"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","3.186"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","2.341"
"Teutônia","4321451","-29.448200000000","-51.804400000000","821"
